index,name,nameEng,il,ilEng
321,Чермик,chermik,Диярбакыр,diyarbakyr
322,Даргечит,dargechit,Мардин,mardin
323,Генч,gench,Бингёль,bingyol
324,Дурсунбей,dursunbej,Балыкесир,balykesir
325,Хорасан,horasan,Эрзурум,erzurum
326,Гюмюшхаджикёй,gyumyushkhadzhikyoj,Амасья,amasya
327,Кызылджахамам,kyzyldzhahamam,Анкара,ankara
328,Памукова,pamukova,Сакарья,sakarya
329,Эгирдир,egirdir,Ыспарта,ysparta
330,Шаркёй,sharkyoj,Текирдаг,tekirdag
331,Богазлыян,bogazlyyan,Йозгат,jozgat
332,Хопа,hopa,Артвин,artvin
333,Ешилли,eshilli,Мардин,mardin
334,Дикили,dikili,Измир,izmir
335,Ахлат,ahlat,Битлис,bitlis
336,Ардаган,ardagan,Ардахан,ardahan
337,Юргюп,yurgyup,Невшехир,nevshekhir
338,Чекмедже,chekmedzhe,Хатай,hataj
339,Ташкёпрю,tashkyopryu,Кастамону,kastamonu
340,Зейтинли,zejtinli,Балыкесир,balykesir
341,Эскиль,eskil,Аксарай,aksaraj
342,Мурадие,muradie,Ван,van
343,Эспие,espie,Гиресун,giresun
344,Бозъязы,"boz""yazy",Мерсин,mersin
345,Бигадич,bigadich,Балыкесир,balykesir
346,Кыркагач,kyrkagach,Маниса,manisa
347,Саруханлы,saruhanly,Маниса,manisa
348,Демре,demre,Анталья,antalya
349,Огузели,oguzeli,Газиантеп,gaziantep
350,Кызылпынар,kyzylpynar,Текирдаг,tekirdag
351,Пазар,pazar,Ризе,rize
352,Джиханбейли,dzhihanbejli,Конья,konya
353,Мармараэреглиси,marmaraereglisi,Текирдаг,tekirdag
354,Алтынолук,altynoluk,Балыкесир,balykesir
355,Баназ,banaz,Ушак,ushak
356,Гёреле,gyorele,Гиресун,giresun
357,Булдан,buldan,Денизли,denizli
358,Элмалы,elmaly,Анталья,antalya
359,Араклы,arakly,Трабзон,trabzon
360,Оф,of,Трабзон,trabzon
361,Чалдыран,chaldyran,Ван,van
362,Шемдинли,shemdinli,Хаккяри,hakkyari
363,Денизджилер,denizdzhiler,Хатай,hataj
364,Зекириякёй,zekiriyakyoj,Стамбул,stambul
365,Архави,arhavi,Артвин,artvin
366,Сиде,side,Анталья,antalya
367,Армуталан,armutalan,Мугла,mugla
368,Вакфыкебир,vakfykebir,Трабзон,trabzon
369,Айбасты,ajbasty,Орду,ordu
370,Каракочан,karakochan,Элязыг,elyazyg
371,Обакёй,obakyoj,Анталья,antalya
372,Нарлыджа,narlydzha,Хатай,hataj
373,Тюркоглу,tyurkoglu,Кахраманмараш,kahramanmarash
374,Сольхан,solhan,Бингёль,bingyol
375,Чай,chaj,Афьонкарахисар,afonkarahisar
376,Османели,osmaneli,Биледжик,biledzhik
377,Кадыханы,kadyhany,Конья,konya
378,Пелитли,pelitli,Трабзон,trabzon
379,Сюрмене,syurmene,Трабзон,trabzon
380,Феризли,ferizli,Сакарья,sakarya
381,Келькит,kelkit,Гюмюшхане,gyumyushkhane
382,Шиле,shile,Стамбул,stambul
383,Пасинлер,pasinler,Эрзурум,erzurum
384,Кандыра,kandyra,Коджаэли,kodzhaeli
385,Кагызман,kagyzman,Карс,kars
386,Сушехри,sushekhri,Сивас,sivas
387,Азизие,azizie,Анталья,antalya
388,Сарыгёль,sarygyol,Маниса,manisa
389,Тиреболу,tirebolu,Гиресун,giresun
390,Башкале,bashkale,Ван,van
391,Байрамич,bajramich,Чанаккале,chanakkale
392,Карачулха,karachulha,Мугла,mugla
393,Корган,korgan,Орду,ordu
394,Эшме,eshme,Ушак,ushak
395,Гёльхисар,gyolhisar,Бурдур,burdur
396,Сындыргы,syndyrgy,Балыкесир,balykesir
397,Арсин,arsin,Трабзон,trabzon
398,Ортаклар,ortaklar,Айдын,ajdyn
399,Бахче,bahche,Османие,osmanie
400,Эдремит,edremit,Ван,van
401,Улудере,uludere,Ширнак,shirnak
402,Конаклы,konakly,Анталья,antalya
403,Баля,balya,Анкара,ankara
404,Коджаали,kodzhaali,Сакарья,sakarya
405,Чаглаянджерит,chaglayandzherit,Кахраманмараш,kahramanmarash
406,Герменджик,germendzhik,Айдын,ajdyn
407,Кадынкеди,kadynkedi,Шанлыурфа,shanlyurfa
408,Шарки-Караагач,sharki-karaagach,Ыспарта,ysparta
409,Челебибагы,chelebibagy,Ван,van
410,Бюньян,byunyan,Кайсери,kajseri
411,Чинарджик,chinardzhik,Ялова,yalova
412,Шухут,shuhut,Афьонкарахисар,afonkarahisar
413,Хаджилар,hadzhilar,Кайсери,kajseri
414,Тавас,tavas,Денизли,denizli
415,Муджур,mudzhur,Кыршехир,kyrshekhir
416,Бешикдюзю,beshikdyuzyu,Трабзон,trabzon
417,Кумру,kumru,Орду,ordu
418,Наллыхан,nallyhan,Анкара,ankara
419,Аджипаям,adzhipayam,Денизли,denizli
420,Кынык,kynyk,Измир,izmir
421,Сасон,sason,Батман,batman
422,Визе,vize,Кыркларели,kyrklareli
423,Хаскёй,haskyoj,Муш,mush
424,Финике,finike,Анталья,antalya
425,Доганшехир,doganshekhir,Малатья,malatya
426,Исджехисар,isdzhekhisar,Афьонкарахисар,afonkarahisar
427,Озальп,ozalp,Ван,van
428,Чифтелер,chifteler,Эскишехир,eskishekhir
429,Кузуджулу,kuzudzhulu,Хатай,hataj
430,Тёмюк,tyomyuk,Мерсин,mersin
431,Кючюккёй,kyuchyukkyoj,Балыкесир,balykesir
432,Эзине,ezine,Чанаккале,chanakkale
433,Ташова,tashova,Амасья,amasya
434,Пынархисар,pynarhisar,Кыркларели,kyrklareli
435,Аванос,avanos,Невшехир,nevshekhir
436,Еникёй,enikyoj,Бурса,bursa
437,Каргыпынары,kargypynary,Мерсин,mersin
438,Гёрдес,gyordes,Маниса,manisa
439,Гёлкёй,gyolkyoj,Орду,ordu
440,Зара,zara,Сивас,sivas
441,Умурлу,umurlu,Айдын,ajdyn
442,Ондокузмайыс,ondokuzmajys,Самсун,samsun
443,Герзе,gerze,Синоп,sinop
444,Датча,datcha,Мугла,mugla
445,Пынарбаши,pynarbashi,Кайсери,kajseri
446,Чинар,chinar,Диярбакыр,diyarbakyr
447,Аянджик,ayandzhik,Синоп,sinop
448,Лидже,lidzhe,Диярбакыр,diyarbakyr
449,Алачам,alacham,Самсун,samsun
450,Серинхисар,serinhisar,Денизли,denizli
451,Ялыкавак,yalykavak,Мугла,mugla
452,Йомра,jomra,Трабзон,trabzon
453,Ешилькёй,eshilkyoj,Хатай,hataj
454,Хавран,havran,Балыкесир,balykesir
455,Чукурджа,chukurdzha,Хаккяри,hakkyari
456,Бозова,bozova,Шанлыурфа,shanlyurfa
457,Лапсеки,lapseki,Чанаккале,chanakkale
458,Алтынова,altynova,Балыкесир,balykesir
459,Эмет,emet,Кютахья,kyutahya
460,Акчай,akchaj,Балыкесир,balykesir
461,Дивриги,divrigi,Сивас,sivas
462,Давутлар,davutlar,Айдын,ajdyn
463,Караагач,karaagach,Эдирне,edirne
464,Деринкую,derinkuyu,Невшехир,nevshekhir
465,Чекерек,chekerek,Йозгат,jozgat
466,Эрменек,ermenek,Караман,karaman
467,Борчка,borchka,Артвин,artvin
468,Мазыдагы,mazydagy,Мардин,mardin
469,Алачаты,alachaty,Измир,izmir
470,Кескин,keskin,Кырыккале,kyrykkale
471,Ахметли,ahmetli,Маниса,manisa
472,Шефаатли,shefaatli,Йозгат,jozgat
473,Чамаш,chamash,Орду,ordu
474,Хаймана,hajmana,Анкара,ankara
475,Баят,bayat,Чорум,chorum
476,Бююкёнджали,byuyukyondzhali,Текирдаг,tekirdag
477,Томарза,tomarza,Кайсери,kajseri
478,Султанханы,sultanhany,Аксарай,aksaraj
479,Кепез,kepez,Чанаккале,chanakkale
480,Тунчбилек,tunchbilek,Кютахья,kyutahya
481,Адильджеваз,adildzhevaz,Битлис,bitlis
482,Боздоган,bozdogan,Айдын,ajdyn
483,Геваш,gevash,Ван,van
484,Гелинкая,gelinkaya,Мардин,mardin
485,Ашкале,ashkale,Эрзурум,erzurum
486,Кангал,kangal,Сивас,sivas
487,Тургутальп,turgutalp,Маниса,manisa
488,Кёшк,kyoshk,Айдын,ajdyn
489,Яхшихан,yahshihan,Кырыккале,kyrykkale
490,Джикджилли,dzhikdzhilli,Анталья,antalya
491,Аяш,ayash,Анкара,ankara
492,Аджарлар,adzharlar,Айдын,ajdyn
493,Позанты,pozanty,Адана,adana
494,Енидже,enidzhe,Карабюк,karabyuk
495,Сиврихисар,sivrihisar,Эскишехир,eskishekhir
496,Эрух,eruh,Сиирт,siirt
497,Гёльмармара,gyolmarmara,Маниса,manisa
498,Кульп,kulp,Диярбакыр,diyarbakyr
499,Сёгют,syogyut,Биледжик,biledzhik
500,Ташуджу,tashudzhu,Мерсин,mersin
501,Одабашы,odabashy,Хатай,hataj
502,Фындыклы,fyndykly,Ризе,rize
503,Першембе,pershembe,Орду,ordu
504,Гёльяка,gyolyaka,Дюздже,dyuzdzhe
505,Шебинкарахисар,shebinkarahisar,Гиресун,giresun
506,Арабан,araban,Газиантеп,gaziantep
507,Хасса,hassa,Хатай,hataj
508,Акчадаг,akchadag,Малатья,malatya
509,Саваштепе,savashtepe,Балыкесир,balykesir
510,Кайнашлы,kajnashly,Дюздже,dyuzdzhe
511,Карайилан,karajilan,Хатай,hataj
512,Решадийе,reshadije,Токат,tokat
513,Хизан,hizan,Битлис,bitlis
514,Сараёню,sarayonyu,Конья,konya
515,Хани,hani,Диярбакыр,diyarbakyr
516,Палу,palu,Элязыг,elyazyg
517,Инеболу,inebolu,Кастамону,kastamonu
518,Хоназ,honaz,Денизли,denizli
519,Гюрюн,gyuryun,Сивас,sivas
520,Бешири,beshiri,Батман,batman
521,Юнак,yunak,Конья,konya
522,Ешилхисар,eshilhisar,Кайсери,kajseri
523,Авсаллар,avsallar,Анталья,antalya
524,Йылдызели,jyldyzeli,Сивас,sivas
525,Варто,varto,Муш,mush
526,Мавикент,mavikent,Анталья,antalya
527,Халфети,halfeti,Шанлыурфа,shanlyurfa
528,Пертек,pertek,Тунджели,tundzheli
529,Кючюкдалян,kyuchyukdalyan,Хатай,hataj
530,Черкеш,cherkesh,Чанкыры,chankyry
531,Языконак,yazykonak,Элязыг,elyazyg
532,Акбез,akbez,Хатай,hataj
533,Карачобан,karachoban,Эрзурум,erzurum
534,Чаталагзи,chatalagzi,Зонгулдак,zonguldak
535,Текебаши,tekebashi,Хатай,hataj
536,Каледжик,kaledzhik,Анкара,ankara
537,Караташ,karatash,Адана,adana
538,Конаджик,konadzhik,Мугла,mugla
539,Хыныс,hynys,Эрзурум,erzurum
540,Ипсала,ipsala,Эдирне,edirne
541,Чобанлар,chobanlar,Афьонкарахисар,afonkarahisar
542,Хавса,havsa,Эдирне,edirne
543,Якынджа,yakyndzha,Малатья,malatya
544,Беёглу,beyoglu,Кахраманмараш,kahramanmarash
545,Чайырхан,chajyrhan,Анкара,ankara
546,Сахилькент,sahilkent,Анталья,antalya
547,Гюльшехир,gyulshekhir,Невшехир,nevshekhir
548,Даренде,darende,Малатья,malatya
549,Ладик,ladik,Самсун,samsun
550,Кору,koru,Ялова,yalova
551,Кестел,kestel,Анталья,antalya
552,Элешкирт,eleshkirt,Агры,agry
553,Султанкёй,sultankyoj,Текирдаг,tekirdag
554,Дилек,dilek,Малатья,malatya
555,Еничифтлик,enichiftlik,Текирдаг,tekirdag
556,Турунчова,turunchova,Анталья,antalya
557,Гёзджюлер,gyozdzhyuler,Хатай,hataj
558,Сарылар,sarylar,Анталья,antalya
559,Кёйджегиз,kyojdzhegiz,Мугла,mugla
560,Эйнесил,ejnesil,Гиресун,giresun
561,Ладик,ladik,Конья,konya
562,Айдынджик,ajdyndzhik,Мерсин,mersin
563,Тузлуджа,tuzludzha,Ыгдыр,ygdyr
564,Челикхан,chelikkhan,Адыяман,adyyaman
565,Сёгютлю,syogyutlyu,Трабзон,trabzon
566,Кираз,kiraz,Измир,izmir
567,Кабала,kabala,Мардин,mardin
568,Диджле,didzhle,Диярбакыр,diyarbakyr
569,Енидже,enidzhe,Мерсин,mersin
570,Топраккале,toprakkale,Османие,osmanie
571,Ешильюрт,eshilyurt,Малатья,malatya
572,Сёгютлю,syogyutlyu,Сакарья,sakarya
573,Юртбаши,yurtbashi,Элязыг,elyazyg
574,Бостанбаши,bostanbashi,Малатья,malatya
575,Ениджеоба,enidzheoba,Конья,konya
576,Савур,savur,Мардин,mardin
577,Кале,kale,Денизли,denizli
578,Савуджа,savudzha,Айдын,ajdyn
579,Андырын,andyryn,Кахраманмараш,kahramanmarash
580,Кешап,keshap,Гиресун,giresun
581,Хекимхан,hekimhan,Малатья,malatya
582,Исмил,ismil,Конья,konya
583,Енидже,enidzhe,Анкара,ankara
584,Нарлы,narly,Кахраманмараш,kahramanmarash
585,Куюджак,kuyudzhak,Айдын,ajdyn
586,Гюргентепе,gyurgentepe,Орду,ordu
587,Чилимли,chilimli,Дюздже,dyuzdzhe
588,Орханели,orhaneli,Бурса,bursa
589,Белдиби,beldibi,Мугла,mugla
590,Гёле,gyole,Ардахан,ardahan
591,Актепе,aktepe,Хатай,hataj
592,Айваджык,ajvadzhyk,Чанаккале,chanakkale
593,Чайыралан,chajyralan,Йозгат,jozgat
594,Бозкыр,bozkyr,Конья,konya
595,Карапюрчек,karapyurchek,Сакарья,sakarya
596,Сарайкент,sarajkent,Йозгат,jozgat
597,Тонья,tonya,Трабзон,trabzon
598,Кавак,kavak,Самсун,samsun
599,Кечиборлу,kechiborlu,Ыспарта,ysparta
600,Чолаклы,cholakly,Анталья,antalya
601,Оваэмир,ovaemir,Айдын,ajdyn
602,Ичеричумра,icherichumra,Конья,konya
603,Мачка,machka,Трабзон,trabzon
604,Битез,bitez,Мугла,mugla
605,Яглыдере,yaglydere,Гиресун,giresun
606,Чаршибаши,charshibashi,Трабзон,trabzon
607,Дураган,duragan,Синоп,sinop
608,Козаклы,kozakly,Невшехир,nevshekhir
609,Пиразиз,piraziz,Гиресун,giresun
610,Бекбеле,bekbele,Хатай,hataj
611,Шекероба,shekeroba,Кахраманмараш,kahramanmarash
612,Арыташ,arytash,Кахраманмараш,kahramanmarash
613,Атча,atcha,Айдын,ajdyn
614,Гёкчебей,gyokchebej,Зонгулдак,zonguldak
615,Улукышла,ulukyshla,Нигде,nigde
616,Гюлюч,gyulyuch,Зонгулдак,zonguldak
617,Алтынова,altynova,Ялова,yalova
618,Сакчагёзе,sakchagyoze,Газиантеп,gaziantep
619,Атаюрт,atayurt,Мерсин,mersin
620,Ышыклар,yshyklar,Афьонкарахисар,afonkarahisar
621,Карайсалы,karajsaly,Адана,adana
622,Улуборлу,uluborlu,Ыспарта,ysparta
623,Гёйнюк,gyojnyuk,Анталья,antalya
624,Ылгаз,ylgaz,Чанкыры,chankyry
625,Атакент,atakent,Мерсин,mersin
626,Чичекдагы,chichekdagy,Кыршехир,kyrshekhir
627,Гёкче,gyokche,Мардин,mardin
628,Бухаркент,buharkent,Айдын,ajdyn
629,Велимеше,velimeshe,Текирдаг,tekirdag
630,Ширан,shiran,Гюмюшхане,gyumyushkhane